ADM2_PT,ADM2_PCODE,T_TL,log_population,district_area,Water,Trees,Flooded vegetation,Crops,Built Area,Bare ground,Snow/Ice,Clouds,Rangeland,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10,ST_ATRAN,ST_DRAD,ST_TRAD,ST_URAD,ST_EMIS,ST_EMSD,NDVI,NDWI,NDBI,osm_traffic,osm_transport,osm_places,osm_pofw,osm_pois,osm_railways,osm_roads,building_count,building_area,DNB
Larde,MZ0706,117341.0,11.672848026820704,1842.7307048396176,0.0139692941388578,0.236715956613975,0.0101347676164435,0.0014264203215735,0.0037096629675952,0.0032325544739739,0.0,4.360141591238034e-07,0.7308109078534216,8359.169719130896,8673.812384021541,9623.84564058494,9941.675516406707,15928.32487145333,16003.563356106504,13008.025659204515,47674.17722644592,6631.887218378091,1295.9353163141843,10196.207502990736,2792.322576707389,9738.09129199695,37.01678622308268,3.070073783817583,1.959519418364713,1.764869623861519,0,1,2,0,6,0.0,574.3209778732311,24979,1.095333555662234,1.0829721715328466
Limpopo,MZ0209,178235.0,12.090863793817531,1635.5788842626205,0.018573183149389,0.2982194936316876,0.0212684081690639,0.056664950524212,0.052677626945885,0.0028933810852139,0.0,1.2101133773374928e-07,0.5497028354832106,8428.626455446183,8813.327401146438,10048.23127626246,10147.563539298808,17902.214227181485,16205.66128951072,13033.136705733596,49408.147317901065,5510.450043571731,1674.9480559036865,10463.327735190163,3768.313630841404,9721.462912532088,21.29067577941976,3.012977505656861,1.629930722645248,1.1702277398356944,1,1,7,1,8,0.0,942.4702509279437,101174,3.9649976131,0.4705987170349252
Liúpo,MZ0707,108212.0,11.591856786051649,2120.148893792843,0.0041828039419102,0.5054393007830248,0.0014076334923258,0.0,0.002434049293117,0.0012001674527499,5.212087084309463e-05,0.0001866084417496,0.4850973157242794,8010.03648273033,8211.91417292478,9041.257198248864,8957.00576591819,16627.240520915602,14546.341491291974,11130.615851977178,45361.9925915777,6531.663657834865,1289.331226981034,9317.762820055024,2776.847006981782,9731.592982629476,37.50628453154856,3.607174103237096,1.9658815962496217,1.6735808996024657,0,0,2,0,1,0.0,463.054827569968,32916,1.3720460485,0.2132253056471958
Luabo,MZ1109,68323.0,11.132016374757953,1121.222695943781,0.0430615978142332,0.2886569822333609,0.0308301770267787,0.0028721234791896,0.0041561441642352,0.0015281391880554,0.0,0.0,0.6288948360941466,8981.826468082485,9229.517357297558,10025.45327592047,10057.520467446086,14898.247754636996,15536.288627942067,13222.84872155446,49370.326138812976,6415.841040181079,1395.608432957383,10574.951589886625,3015.084350485327,9657.248128763742,96.79100562222258,2.860617399438728,1.9441857470869723,1.6686306200411405,2,3,6,2,8,0.0,287.7034383018953,7852,0.3815516782195773,0.2272115034583182
Lugela,MZ1110,216856.0,12.286993429120654,6132.240050309772,0.0056263386488885,0.5997743799644484,0.0002024790992763,0.0052865103813557,0.0010083842261201,0.0002442945451849,0.0,4.9117595037511843e-08,0.3878575640171309,8744.964635031807,8975.908190473881,9681.272664262558,10068.924635765134,14517.538231964492,15859.905426601626,13371.979864420342,49101.64532936712,7071.084655309337,1170.1742259734704,10871.27155079849,2469.7491851078003,9742.6942710499,63.03052667310052,2.897920927062031,2.012407049578341,1.81159705427436,3,0,5,0,12,0.0,961.6774085861874,82111,4.3667643589,0.2909154882380537
Mabalane,MZ0210,42434.0,10.655728772403778,8921.829317163621,0.0022038810680369,0.5393885977769203,0.000680229125153,0.0159557501414131,0.001301373111643,0.0015839133884172,0.0,0.0,0.4388862553884162,8540.8725934321,8934.4145428834,10088.692569914445,10573.183055815876,16283.792050171323,17124.208033112318,13908.99058060787,51008.91604610985,6081.432276821979,1520.390878778132,10993.697009658685,3341.540209784053,9641.137524980655,81.9275518604739,3.2505824111822945,1.980963031897592,1.50865173576,3,2,11,0,6,136.97090480221618,775.5414453279795,11956,0.435716293536977,0.4015022875241951
Mabote,MZ0308,56352.0,10.939390756737572,15325.231059922966,0.0046378106193229,0.7268180983256189,0.0071314432547465,0.0001106196506276,0.0001714249628251,0.0011874308314219,0.0,0.0,0.2599431723554368,8321.193393770767,8631.679491922077,9587.661469774035,9905.218631608048,16001.469108175836,16156.789584765278,12883.49257476349,47370.018849232045,7095.274483941385,1138.978711002237,10207.643313245866,2410.2613249395035,9736.519417972151,8.307595850090122,3.765740074563412,1.960783682596,1.6550302796607017,1,0,4,2,9,0.0,1500.7386920176318,21758,0.6333505744,0.3411543972163471
Macanga,MZ1008,200412.0,12.208135516348344,7191.267623719892,0.000115219627183,0.5504508327204962,0.0,0.034968431423565,0.0037308410927392,2.7374584742947653e-06,0.0,0.0,0.4107319376775421,8506.690740100374,8731.604527820258,9675.808251591809,9870.12530182943,16096.199442420524,15818.19851136264,13408.140589605056,48173.6958507445,7976.218646257862,806.465286634484,10625.044798644123,1625.50199034583,9710.419159097595,44.46979300419739,1.8888888888888888,1.9643229670476847,1.629696127085846,0,1,18,1,7,0.0,6098.676180775122,73658,3.3396058943,1.396701812853736
Macate,MZ0405,108488.0,11.59440406433462,1778.9451290609916,0.0035522253485334,0.3159002637970898,1.7548709608951442e-05,0.0092818790358561,0.0013437535645816,7.94689982607896e-05,0.0,0.0,0.6698248605460692,8480.19827004221,8681.023189004314,9603.198381710532,9754.9813129922,16214.071029672035,15837.657618659345,13178.403962697295,49686.75342965161,7252.297819961279,1125.4633706003233,11251.515015614736,2369.353847977439,9736.25267505262,37.67215562728485,3.0953045095304508,1.9160426410734468,1.481183553221468,2,0,1,0,4,0.0,400.1049880496468,28079,0.8357597150999999,0.2022217184311948
Machanga,MZ0909,70525.0,11.163736715138688,5715.080051157749,0.0310437866690931,0.3671560309909422,0.0352916767959033,0.0039588814198234,0.0020199947707101,0.0073365764705527,0.0,1.062028202535767e-06,0.5531919908547723,8634.65689893522,8906.72411131939,9859.518805073432,10055.278667324072,15590.67817386009,15895.312779012958,13112.361389868973,47063.61089716829,6775.91970041319,1256.3740619669215,10056.638180820226,2700.600391510297,9746.79446271006,20.47334423435793,2.940576349784697,1.9532872139303428,1.470611085509547,2,0,25,0,12,0.0,977.166451935816,13679,0.6471372229,0.197834687389615
